Policy Type Name,only_termination_sum,gender,age
Annuity(Annuity Certain ),93,1,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),5,1,18-22
Cancer,2344,1,18-22
Dread Disease T.L.,17,1,18-22
Dread Disease W.L.,268,1,18-22
Endowment,115,1,18-22
Female Disease,3,1,18-22
Inc. Dec. Term Life,2,1,18-22
J.M.I.P,2,1,18-22
Joint life,1,1,18-22
Joint life(Flexible),28,1,18-22
Juvenile,130,1,18-22
Medical,8366,1,18-22
M.I.P,170,1,18-22
Nursing care,2,1,18-22
Term life,623,1,18-22
VL Endowment,3,1,18-22
VL Whole life,71,1,18-22
Whole life,2700,1,18-22
Annuity(Annuity Certain ),77,2,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),4,2,18-22
Cancer,1816,2,18-22
Dread Disease T.L.,13,2,18-22
Dread Disease W.L.,203,2,18-22
Endowment,119,2,18-22
Female Disease,584,2,18-22
Joint life(Flexible),18,2,18-22
Juvenile,130,2,18-22
Maternity Insurance(or New Pregnant Woman Insurance),15,2,18-22
Medical,8047,2,18-22
M.I.P,29,2,18-22
Nursing care,6,2,18-22
Term life,312,2,18-22
VL Endowment,2,2,18-22
VL Whole life,34,2,18-22
Whole life,1545,2,18-22
Annuity(Annuity Certain ),1108,1,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),31,1,23-30
Cancer,37645,1,23-30
Dread Disease T.L.,403,1,23-30
Dread Disease W.L.,3281,1,23-30
Endowment,851,1,23-30
Female Disease,295,1,23-30
Inc. Dec. Term Life,7,1,23-30
Injury,6,1,23-30
J.M.I.P,8,1,23-30
Joint life,110,1,23-30
Joint life(Flexible),254,1,23-30
Juvenile,2672,1,23-30
Maternity Insurance(or New Pregnant Woman Insurance),47,1,23-30
Medical,82365,1,23-30
M.I.P,9435,1,23-30
Nursing care,49,1,23-30
Term life,7929,1,23-30
VL Endowment,38,1,23-30
VL Whole life,1130,1,23-30
Whole life,26412,1,23-30
Annuity(Annuity Certain ),937,2,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),22,2,23-30
Cancer,18346,2,23-30
Dread Disease T.L.,234,2,23-30
Dread Disease W.L.,2056,2,23-30
Endowment,943,2,23-30
Female Disease,9050,2,23-30
Inc. Dec. Term Life,4,2,23-30
Injury,1,2,23-30
J.M.I.P,3,2,23-30
Joint life,10,2,23-30
Joint life(Flexible),60,2,23-30
Juvenile,1637,2,23-30
Maternity Insurance(or New Pregnant Woman Insurance),369,2,23-30
Medical,85938,2,23-30
M.I.P,1506,2,23-30
Nursing care,34,2,23-30
Term life,3088,2,23-30
VL Endowment,28,2,23-30
VL Whole life,501,2,23-30
Whole life,13632,2,23-30
Annuity(Annuity Certain ),2343,1,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),68,1,31-40
Cancer,73736,1,31-40
Dread Disease T.L.,1373,1,31-40
Dread Disease W.L.,6714,1,31-40
Endowment,1978,1,31-40
Female Disease,1470,1,31-40
Inc. Dec. Term Life,37,1,31-40
Injury,135,1,31-40
J.M.I.P,57,1,31-40
Joint life,318,1,31-40
Joint life(Flexible),701,1,31-40
Juvenile,8777,1,31-40
Maternity Insurance(or New Pregnant Woman Insurance),72,1,31-40
Medical,181825,1,31-40
Medical（Coins） ,1,1,31-40
M.I.P,36019,1,31-40
Nursing care,140,1,31-40
Term life,28060,1,31-40
VL Endowment,196,1,31-40
VL Whole life,3343,1,31-40
Whole life,52520,1,31-40
Annuity(Annuity Certain ),1716,2,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),39,2,31-40
Cancer,32347,2,31-40
Dread Disease T.L.,671,2,31-40
Dread Disease W.L.,3601,2,31-40
Endowment,1737,2,31-40
Female Disease,16220,2,31-40
Inc. Dec. Term Life,10,2,31-40
Injury,9,2,31-40
J.M.I.P,31,2,31-40
Joint life,29,2,31-40
Joint life(Flexible),185,2,31-40
Juvenile,4497,2,31-40
Maternity Insurance(or New Pregnant Woman Insurance),298,2,31-40
Medical,172087,2,31-40
Medical（Coins） ,1,2,31-40
M.I.P,5322,2,31-40
Nursing care,31,2,31-40
Term life,6823,2,31-40
